Gene,Weight,Derection
UBXN10,0.006542836,Positive
C1orf105,0.006532544,Positive
TTBK1,0.006522922,Positive
STC1,0.006519879,Positive
DUSP26,0.006487667,Positive
PCDHAC1,0.006476282,Positive
GNA15,0.006470345,Positive
MGAM,0.006441766,Positive
MDFI,0.006441205,Positive
SLC31A2,0.006435203,Positive
LAMA3,0.006426431,Positive
ACKR1,0.006422612,Positive
ERC2,0.006420513,Positive
MAGEL2,0.006406164,Positive
SLC5A10,0.006404013,Positive
VSTM2L,0.006396273,Positive
CD14,0.006392115,Positive
PRSS22,0.006384747,Positive
CST1,0.006352619,Positive
HRNR,0.006352188,Positive
ONECUT1,0.006350133,Positive
SMIM5,0.006330274,Positive
ARHGEF37,0.006326411,Positive
SHD,0.006321481,Positive
SAMD14,0.006286075,Positive
CNGB1,0.006274054,Positive
DACH2,0.006267541,Positive
KRT33B,0.006265728,Positive
RP1,0.006260283,Positive
TAF11L11,0.006257535,Positive
MEGF11,0.006254988,Positive
SLC22A1,0.006245755,Positive
TBX1,0.006231432,Positive
ASPN,0.006229485,Positive
PCSK5,0.006220003,Positive
CCDC88C,0.006218715,Positive
MAFB,0.006211407,Positive
ODAPH,0.006210309,Positive
FAM83H,0.006207418,Positive
CFAP46,0.006205452,Positive
KRTAP2-1,0.006201553,Positive
PAK6,0.006193753,Positive
NPY,0.006177882,Positive
TC2N,0.006173196,Positive
MAP3K7CL,0.006156485,Positive
PIK3IP1,0.006151838,Positive
TKTL1,0.006151498,Positive
SP140,0.006149628,Positive
HLA-DOA,0.006146824,Positive
SLC22A4,0.006146424,Positive
TMEM74B,0.006146357,Positive
PDE10A,0.006144456,Positive
CCK,0.006127823,Positive
ELF3,0.006119419,Positive
PAPPA,0.006119278,Positive
CHD5,0.006114723,Positive
IGSF22,0.006110236,Positive
NHLRC4,0.006105956,Positive
ICOSLG,0.00609098,Positive
RRM2B,0.006086552,Positive
TMEM255B,0.006085694,Positive
NKAIN4,0.006079883,Positive
TMEM38A,0.006077075,Positive
CFH,0.006072325,Positive
CDKN2B,0.00606974,Positive
MFAP5,0.006060738,Positive
CPLX1,0.006060353,Positive
TAS2R30,0.006058502,Positive
GPER1,0.006054626,Positive
ARL14,0.006051571,Positive
ASB9,0.006045346,Positive
B3GALT1,0.006045307,Positive
TRIM22,0.006034121,Positive
SEZ6L2,0.006032833,Positive
IL10,0.006031143,Positive
CILP2,0.006022404,Positive
TDGF1,0.006007927,Positive
SMPX,0.006007013,Positive
ADARB2,0.006003054,Positive
TNFSF4,0.00600034,Positive
RASL10B,0.005990666,Positive
SMLR1,0.005986145,Positive
CAPN13,0.005985449,Positive
